,岗位,企业,城市,薪资,经验,学历
0,python开发工程师,云孚科技（北京）有限公司,哈尔滨,8000,不限,本科
1,python开发工程师,广东美亚旅游科技集团股份有限公司,广州,12000,3-5年,本科
2,python开发工程师,深圳市同和信息技术有限公司,深圳,16000,5-10年,本科
3,python开发工程师,达而观信息科技（上海）有限公司,上海,12000,1-3年,本科
4,Python开发工程师,志诺维思（北京）基因科技有限公司,北京,15000,不限,本科
5,python开发工程师,北京星尘纪元智能科技有限公司,北京,10000,1-3年,本科
6,python开发工程师,加绩（上海）科技服务有限公司,上海,18000,3-5年,大专
7,python开发工程师,贝壳找房（北京）科技有限公司,北京,20000,3-5年,本科
8,Python开发工程师,深圳微众信用科技股份有限公司,深圳,15000,3-5年,本科
9,python开发工程师,达而观信息科技（上海）有限公司,上海,15000,3-5年,本科
10,python开发工程师,苏州卓曜智能科技有限公司,苏州,9000,3-5年,本科
11,python开发工程师,深圳市睿服科技有限公司,深圳,14000,3-5年,本科
12,python工程师,北京一点网聚信息技术有限公司,北京,30000,5-10年,本科
13,python开发工程师,温州银行股份有限公司,温州,13000,3-5年,本科
14,python开发工程师,深圳市言羽科技有限公司,上海,20000,不限,本科
15,python开发,深圳市睿服科技有限公司,深圳,12000,3-5年,本科
16,python开发工程师,深圳市脉山龙信息技术股份有限公司,深圳,13000,1-3年,大专
17,python开发工程师,翰竺科技（北京）有限公司,深圳,10000,3-5年,本科
18,python开发工程师,普华永道商务服务（成都）有限公司,广州,12000,1-3年,本科
19,Python开发工程师,志诺维思（北京）基因科技有限公司,北京,15000,不限,本科
20,python开发工程师,加绩（上海）科技服务有限公司,上海,18000,3-5年,大专
21,python开发工程师,达而观信息科技（上海）有限公司,上海,15000,3-5年,本科
22,python开发工程师,波克科技股份有限公司,上海,18000,3-5年,本科
23,Python开发工程师,浙江保融科技股份有限公司,杭州,11000,3-5年,本科
24,Python开发工程师,上海弘连网络科技有限公司,杭州,10000,1-3年,本科
25,Python开发工程师,深圳微众信用科技股份有限公司,深圳,15000,3-5年,本科
26,python工程师,北京一点网聚信息技术有限公司,北京,30000,5-10年,本科
27,python开发工程师,温州银行股份有限公司,温州,13000,3-5年,本科
28,python开发工程师,北京睿智思科科技发展有限公司,北京,7000,不限,本科
29,Python开发工程师,云孚科技（北京）有限公司,北京,10000,不限,本科
30,python开发工程师,北京睿智思科科技发展有限公司,北京,7000,不限,本科
31,python开发工程师,深圳市言羽科技有限公司,上海,20000,不限,本科
32,python开发工程师,上海晓途网络科技有限公司,上海,20000,5-10年,本科
33,python开发工程师,上海弘连网络科技有限公司,上海,10000,1-3年,本科
34,Python开发工程师,因诺（上海）资产管理有限公司,北京,20000,1-3年,本科
35,python开发工程师,成都思而科软件有限公司,成都,12000,3-5年,本科
36,python工程师,广东省电信规划设计院有限公司,广州,8000,1-3年,本科
37,python开发工程师,广东美亚旅游科技集团股份有限公司,广州,12000,3-5年,本科
38,python开发工程师,友邦资讯科技（广州）有限公司,广州,15000,5-10年,本科
39,Python开发工程师,志诺维思（北京）基因科技有限公司,北京,15000,不限,本科
40,python开发工程师,加绩（上海）科技服务有限公司,上海,15000,3-5年,本科
41,python开发工程师,波克科技股份有限公司,上海,18000,3-5年,本科
42,python开发工程师,杭州米链科技有限公司,杭州,15000,3-5年,本科
43,Python开发工程师,浙江保融科技股份有限公司,杭州,11000,3-5年,本科
44,Python开发工程师,深圳微众信用科技股份有限公司,深圳,15000,3-5年,本科
45,python开发工程师,达而观信息科技（上海）有限公司,上海,15000,3-5年,本科
46,python开发工程师,北京志翔科技股份有限公司,北京,20000,3-5年,本科
47,python开发工程师,奇点浩翰数据技术（北京）有限公司,北京,15000,3-5年,本科
48,Python开发工程师,云孚科技（北京）有限公司,北京,10000,不限,本科
49,python开发工程师,四川汉科计算机信息技术有限公司,成都,10000,3-5年,本科
50,python开发工程师,北京热刺激光技术有限责任公司,北京,15000,3-5年,本科
51,python开发工程师,中国民航信息网络股份有限公司重庆分公司,重庆,5000,1-3年,本科
52,python开发工程师,达而观信息科技（上海）有限公司,上海,15000,1-3年,本科
53,python主讲老师,网易（杭州）网络有限公司,北京,15000,3-5年,本科
54,宝马对话AI-项目高级工程师-Python/GO(A73030),上海茗日智能科技有限公司,北京,16000,5-10年,本科
55,python后端开发工程师,深圳壹木航科技有限公司,深圳,12000,1-3年,本科
56,Python开发工程师 (MJ000537),上海域起网络科技有限公司,上海,20000,3-5年,本科
57,Python技术管培生,中山华定科技有限公司,中山,5000,不限,不限
58,高级python开发工程师,深圳软牛科技有限公司,深圳,15000,3-5年,本科
59,python后端开发工程师,上海微创软件股份有限公司,苏州,11000,1-3年,本科
60,python爬虫工程师-高级,北京罗格数据科技有限公司,北京,40000,5-10年,本科
61,苏州python开发工程师,达而观信息科技（上海）有限公司,苏州,12000,1-3年,本科
62,Python 实习生,广州爱范儿科技股份有限公司,广州,3000,不限,本科
63,python后端开发工程师,深圳市脉山龙信息技术股份有限公司,深圳,10000,3-5年,本科
64,Python图形开发工程师,上海微创软件股份有限公司,苏州,15000,3-5年,本科
65,python开发工程师（包2餐，证券项目稳定，加班少）,深圳市睿服科技有限公司,深圳,15000,3-5年,本科
66,上海Python后端高级开发工程师,达而观信息科技（上海）有限公司,上海,20000,3-5年,本科
67,python数据开发工程师,上海仲阳天王星数据科技有限公司,成都,15000,不限,本科
68,Python系统开发工程师,上海仲阳天王星数据科技有限公司,深圳,15000,不限,本科
69,知识图谱开发工程师（Python）,证通股份有限公司,上海,15000,1-3年,本科
70,Python实习生,北京中软国际教育科技股份有限公司,西安,6000,不限,大专
71,Python开发交付工程师,浙江保融科技股份有限公司,杭州,13000,3-5年,本科
72,自动化测试工程师（web、接口自动化；python/java）,上海亘岩网络科技有限公司,上海,15000,3-5年,本科
73,后端开发工程师（python方向）,广州凌隆网络科技有限公司,广州,8000,1-3年,本科
74,python开发工程师(2023届应届毕业生),因诺（上海）资产管理有限公司,北京,15000,不限,本科
75,Python系统开发工程师,上海仲阳天王星数据科技有限公司,成都,15000,不限,本科
76,Python系统开发工程师,上海仲阳天王星数据科技有限公司,深圳,15000,不限,本科
77,运维开发工程师（python/go）,富途网络科技（深圳）有限公司,深圳,15000,3-5年,本科
78,客户端开发工程师（python) (MJ000040),深圳淘乐网络科技有限公司,深圳,10000,1-3年,本科
79,Python开发工程师（FUNC 平台）,上海观测未来信息技术有限公司,上海,13000,不限,本科
80,python高级开发工程师,深圳市言羽科技有限公司,北京,30000,1-3年,本科
81,python高级开发工程师,智库人工智能科技（广州）有限公司,广州,15000,3-5年,本科
82,高级python开发工程师,上海晓途网络科技有限公司,上海,20000,5-10年,本科
83,python工程师（兼职）,美译通（深圳）翻译有限公司,深圳,2000,不限,硕士
84,高级python,达而观信息科技（上海）有限公司,上海,15000,3-5年,本科
85,Python高级（SG0303）,长沙蜜獾信息科技有限公司,长沙,10000,3-5年,本科
86,宝马对话AI-项目高级工程师-Python/GO(A73030),上海茗日智能科技有限公司,北京,16000,5-10年,本科
87,python开发工程师（急招，周末双休）,京北方信息技术股份有限公司,北京,16000,3-5年,本科
88,服务器python开发工程师 (MJ000101),深圳淘乐网络科技有限公司,深圳,15000,3-5年,本科
89,高级python开发工程师,深圳软牛科技有限公司,深圳,15000,3-5年,本科
90,高级python,达而观信息科技（上海）有限公司,上海,15000,3-5年,本科
91,Python高级（SG0303）,长沙蜜獾信息科技有限公司,长沙,10000,3-5年,本科
92,核心业务-后端工程师-Python-实习(A34060),上海茗日智能科技有限公司,北京,2000,不限,本科
93,宝马对话AI-后端工程师-Python(A205501),上海茗日智能科技有限公司,北京,11000,1-3年,本科
94,服务器python开发工程师 (MJ000101),深圳淘乐网络科技有限公司,深圳,15000,3-5年,本科
95,游戏数据分析师（熟悉python）,德科信息有限公司,广州,10000,1-3年,本科
96,Python 开发工程师,广州爱范儿科技股份有限公司,广州,20000,3-5年,本科
97,Python 开发工程师,广州爱范儿科技股份有限公司,广州,10000,1-3年,本科
98,Python开发实习生,广东赛博威信息科技有限公司,广州,3000,不限,本科
99,python运维开发工程师,江苏博云科技股份有限公司,南京,6000,不限,本科
100,Python中级（SA0302）,长沙蜜獾信息科技有限公司,长沙,12000,3-5年,本科
101,python资深软件工程师,维我软件（上海）有限公司,北京,35000,10年以上,本科
102,中级python开发 (MJ000065),赞同科技股份有限公司,广州,10000,1-3年,大专
103,python数据开发工程师,上海仲阳天王星数据科技有限公司,深圳,15000,不限,本科
104,python数据开发工程师,上海仲阳天王星数据科技有限公司,上海,15000,不限,本科
105,中级python开发工程师,北京中北信科技发展有限公司,北京,15000,3-5年,大专
106,python资深软件工程师,维我软件（上海）有限公司,北京,35000,10年以上,本科
107,中级python开发 (MJ000065),赞同科技股份有限公司,广州,10000,1-3年,大专
108,Python系统开发工程师,上海仲阳天王星数据科技有限公司,上海,15000,不限,本科
109,Python系统开发工程师,上海仲阳天王星数据科技有限公司,深圳,15000,不限,本科
110,高级python开发工程师,证通股份有限公司,上海,20000,3-5年,硕士
111,Python开发工程师（RPA业务部）,浙江保融科技股份有限公司,杭州,15000,3-5年,本科
112,Python开发交付工程师,浙江保融科技股份有限公司,杭州,13000,3-5年,本科
113,深圳python开发工程师,达而观信息科技（上海）有限公司,深圳,15000,1-3年,本科
114,后端研发工程师(Python)(JB79P),上海茗日智能科技有限公司,上海,12000,1-3年,本科
115,运维开发工程师(python),鲸灵云（杭州）智能有限公司,杭州,17000,5-10年,本科
116,python数据分析经理,北京志翔科技股份有限公司,北京,25000,3-5年,本科
117,python后端开发工程师,加绩（上海）科技服务有限公司,上海,15000,3-5年,本科
118,软件开发python/c++/c/java,华为技术有限公司,苏州,15000,3-5年,本科
119,Python研发工程师(JD52V),多点生活（中国）数字科技有限公司,成都,15000,3-5年,本科
120,python高级开发工程师,深圳铸泰科技有限公司,深圳,15000,3-5年,本科
121,python后端开发工程师,广州探迹科技有限公司,广州,20000,3-5年,本科
122,python后端,上海贞历网络科技有限公司,上海,15000,1-3年,本科
123,python后端开发工程师,深圳壹木航科技有限公司,深圳,12000,1-3年,本科
124,宝马对话AI-后端工程师-Python(A205501),上海茗日智能科技有限公司,北京,11000,1-3年,本科
125,Python开发工程师 (MJ000537),上海域起网络科技有限公司,上海,20000,3-5年,本科
126,python开发工程师（上海）,北京中北信科技发展有限公司,上海,10000,1-3年,本科
127,Python技术管培生,中山华定科技有限公司,中山,5000,不限,不限
128,python高级工程师-信息安全,卫盈联信息技术（深圳）有限公司,深圳,20000,3-5年,本科
129,python爬虫工程师,深圳金蝶账无忧网络科技有限公司,深圳,10000,1-3年,本科
130,Python 实习生,广州爱范儿科技股份有限公司,广州,3000,不限,本科
131,高级python开发工程师,上海微创软件股份有限公司,北京,20000,3-5年,本科
132,python开发工程师（包早中餐）,深圳市睿服科技有限公司,深圳,15000,3-5年,大专
133,Python图形开发工程师,上海微创软件股份有限公司,苏州,15000,3-5年,本科
134,Python中级（SA0302）,长沙蜜獾信息科技有限公司,长沙,12000,3-5年,本科
135,python开发工程师（证券双休包两餐）,深圳市睿服科技有限公司,深圳,14000,3-5年,大专
136,Python 后端工程师,爱客科技（深圳）有限公司,深圳,20000,3-5年,本科
137,中级python开发工程师,北京中北信科技发展有限公司,北京,15000,3-5年,大专
138,python后端开发工程师,成都俊云科技有限公司,成都,17000,5-10年,本科
139,python高级后端开发工程师,维我软件（上海）有限公司,北京,30000,5-10年,本科
140,高级python开发工程师,证通股份有限公司,上海,20000,3-5年,硕士
141,python开发工程师 (MJ005637),广州希音供应链管理有限公司,深圳,20000,3-5年,本科
142,后端开发工程师 (Python | 应用开发 | SH)(J979P),上海茗日智能科技有限公司,上海,12000,1-3年,本科
143,宝马对话AI | 后端开发Python工程师(J779P),上海茗日智能科技有限公司,北京,12000,1-3年,本科
144,运维开发工程师(python),鲸灵云（杭州）智能有限公司,杭州,17000,5-10年,本科
145,python后端开发工程师,加绩（上海）科技服务有限公司,上海,15000,3-5年,本科
146,python后端开发工程师,成都卡社诺网络技术有限责任公司,成都,25000,5-10年,本科
147,python爬虫工程师,深圳市乐思软件技术有限公司,深圳,9000,1-3年,本科
148,python数据分析师,北京志翔科技股份有限公司,北京,15000,不限,本科
149,测试工程师（python）,西安人瑞网络科技有限公司,南京,10000,1-3年,本科
150,python后端开发工程师,加绩（上海）科技服务有限公司,上海,15000,3-5年,本科
151,Python量化工程师,北京同道大象科技有限公司,北京,20000,3-5年,本科
152,软件开发python/c++/c/java,华为技术有限公司,苏州,15000,3-5年,本科
153,技术经理/总监（Java/PHP/python ）,广东保椿养老产业集团股份有限公司,广州,20000,5-10年,本科
154,ERP实施顾问(Python开发),成都普赛睿生物医药科技有限公司,成都,8000,1-3年,本科
155,高级python开发工程师,普华永道商务服务（成都）有限公司,成都,12000,3-5年,本科
156,运维开发工程师（python/go）,富途网络科技（深圳）有限公司,深圳,15000,3-5年,本科
157,Python/Odoo高级开发工程师G00850,深圳市雨禾伟业实业有限公司,深圳,20000,5-10年,本科
158,Python后端开发,上海观测未来信息技术有限公司,上海,13000,1-3年,大专
159,python中高级后端开发工程师,维我软件（上海）有限公司,北京,25000,5-10年,本科
160,Python开发工程师（FUNC 平台）,上海观测未来信息技术有限公司,上海,13000,不限,本科
161,Python 研发工程师,抖音视界（北京）有限公司,北京,30000,不限,本科
162,高级云平台开发工程师（go python）,北京趣拿软件科技有限公司,北京,30000,5-10年,本科
163,中高级python开发工程师,广州优路网络科技有限公司,广州,13000,3-5年,本科
164,python开发工程师（百度）,上海微创软件股份有限公司,北京,14000,1-3年,本科
165,高级python开发工程师,圆通速递有限公司,杭州,22000,5-10年,本科
166,c++/java/python/go开发工程师,北京外企德科人力资源服务上海有限公司,深圳,20000,不限,本科
167,武汉一JAVA/JS/C/C++/Python/go/测试,北京外企德科人力资源服务上海有限公司,武汉,15000,不限,本科
168,python后端开发工程师,科锐尔人力资源服务（苏州）有限公司,深圳,20000,不限,本科
169,Python/SQL/Tableau Data Analyst,万宝盛华企业管理咨询（上海）有限公司,上海,20000,3-5年,本科
170,java/python/web前端开发工程师,科锐尔人力资源服务（苏州）有限公司,深圳,20000,不限,本科
171,python后端开发工程师,张家港市汇智人力资源有限公司,北京,30000,不限,本科
172,python开发,奇安信科技集团股份有限公司,上海,15000,1-3年,本科
173,python工程师,深圳市悦保科技有限公司,深圳,12000,3-5年,本科
174,python开发,河南小角牛食品有限公司,安阳,10000,在校/应届,本科
175,python开发,上海张江发展战略研究院,上海,6000,1年以下,本科
176,python,英赛得人才顾问（武汉）有限公司,杭州,10000,1-3年,本科
177,python开发,深圳市同和信息技术有限公司,上海,12000,3-5年,本科
178,python开发工程师,华为技术有限公司,西安,15000,不限,本科
179,python开发工程师,北京汉迪移动互联网科技股份有限公司,北京,15000,不限,本科
180,c/c++，java，python、测试，js,北京外企德科人力资源服务上海有限公司,上海,18000,不限,本科
181,c/c++，java，js，python、go通用软件开发工程师,北京外企德科人力资源服务上海有限公司,深圳,15000,不限,本科
182,软件开发工程师（python）,科锐尔人力资源服务（苏州）有限公司,西安,18000,不限,本科
183,java/Python/web开发工程师,科锐尔人力资源服务（苏州）有限公司,西安,15000,不限,本科
184,python开发工程师,上海泛微网络科技股份有限公司,上海,11000,1-3年,本科
185,python开发工程师,北京码博科技有限公司,北京,13000,1-3年,本科
186,python开发工程师,成都兴能金通科技有限公司,成都,15000,3-5年,大专
187,python开发工程师,北京码博科技有限公司,北京,10000,1-3年,本科
188,Python后端研发工程师（财富管理方向）,富途网络科技（深圳）有限公司,深圳,20000,3-5年,本科
189,python开发,北京卓伯咨询有限公司,宁波,13000,不限,本科
190,Python开发工程师,华为技术有限公司,西安,15000,不限,本科
191,python工程师,北京迈迪培尔信息技术有限公司,北京,6000,不限,本科
192,python工程师,宁波思艾特软件有限公司,成都,9000,1-3年,本科
193,python开发工程师,大连华信计算机技术股份有限公司,西安,12000,3-5年,本科
194,python开发工程师,京北方信息技术股份有限公司,上海,16000,不限,本科
195,软件开发工程师 (java c++ Python）,北京外企德科人力资源服务上海有限公司,深圳,15000,不限,本科
196,Java/前端/Python/C/C++/Go/测试等开发岗,北京外企德科人力资源服务上海有限公司,上海,16000,不限,本科
197,java/python/web前端开发工程师,科锐尔人力资源服务（苏州）有限公司,深圳,20000,不限,本科
198,python开发工程师,京北方信息技术股份有限公司,上海,16000,不限,本科
199,python开发工程师,陕西科锐尔人力资源服务有限公司,北京,15000,5-10年,本科
200,python工程师,北京联龙博通电子商务技术有限公司,北京,15000,3-5年,本科
201,python开发工程师,深圳市嘉信福实业集团有限公司,深圳,20000,5-10年,本科
202,Python工程师,北京新火科技有限公司,北京,8000,不限,本科
203,Python开发,成都优声科技有限公司,北京,15000,3-5年,本科
204,python,武汉飞脉科技有限责任公司,武汉,8000,1-3年,大专
205,python开发工程师,威廉欧奈尔信息科技（上海）有限公司,上海,12000,1-3年,本科
206,python开发工程师,北京维太格科技有限公司,北京,15000,不限,本科
207,python工程师,深圳和润达科技有限公司,深圳,25000,3-5年,本科
208,Python开发工程师,杭州半云科技有限公司,福州,10000,1-3年,本科
209,python开发工程师,贵阳高登世德金融科技有限公司,贵阳,10000,3-5年,本科
210,软件开发（Java、C++、Python）,北京外企德科人力资源服务上海有限公司,深圳,15000,不限,本科
211,java/python/c/c++/前端开发/软件测试,北京外企德科人力资源服务上海有限公司,成都,15000,不限,本科
212,python开发工程师,中软国际科技服务有限公司,西安,9000,1-3年,本科
213,python开发工程师,中软国际科技服务有限公司,西安,15000,不限,本科
214,python工程师,北京蓝色脉动科技有限责任公司,北京,8000,在校/应届,本科
215,python开发工程师,信必优（深圳）信息技术有限公司,广州,10000,1-3年,本科
216,python开发工程师,源杉数据科技（上海）有限公司,上海,15000,3-5年,本科
217,python开发,北京安技汇科技有限公司,北京,15000,3-5年,不限
218,python开发工程师,万博时代（深圳）科技有限公司,深圳,15000,3-5年,大专
219,python开发工程师,广州市信创电子科技有限公司,北京,50000,5-10年,本科
220,python开发工程师,广州天锐医健信息科技有限公司,广州,9000,1-3年,大专
221,python开发工程师,济南晓邻网络科技有限公司,济南,8000,1-3年,本科
222,python开发工程师,北京神州云合数据科技发展有限公司,南京,10000,5-10年,本科
223,python开发工程师,宁波平方和投资管理合伙企业（有限合伙）,北京,15000,不限,本科
224,python开发工程师,山东慧诚数字科技集团有限公司,济南,13000,3-5年,本科
225,Java/C/C++/Python/测试/运维,北京外企德科人力资源服务上海有限公司,上海,15000,不限,本科
226,Java/前端/python/c++/c/测试,北京外企德科人力资源服务上海有限公司,西安,15000,不限,本科
227,python开发工程师,中软国际科技服务有限公司,深圳,10000,1-3年,本科
228,python开发工程师,中软国际科技服务有限公司,武汉,10000,1-3年,本科
229,python开发工程师,深圳一科互联有限公司,深圳,10000,3-5年,大专
230,python开发,陌壳（上海）网络科技有限公司,昆明,10000,3-5年,本科
231,python开发工程师,京北方信息技术股份有限公司,广州,15000,3-5年,本科
232,python,西安英荟烁企业管理咨询所,北京,15000,不限,不限
233,python,西安英荟烁企业管理咨询所,广州,15000,不限,大专
234,Python开发,北京时空立方数字科技有限公司,广州,10000,1-3年,本科
235,Python开发工程师,华为技术有限公司,深圳,10000,不限,本科
236,python开发工程师,北京微财科技有限公司,北京,25000,1年以下,硕士
237,python开发工程师,观源（上海）科技有限公司,上海,12000,1-3年,本科
238,python开发工程师,深圳市同和信息技术有限公司,深圳,14000,3-5年,大专
239,python开发工程师,上海泛微网络科技股份有限公司,上海,18000,1-3年,本科
240,武汉一JAVA/JS/C/C++/Python/go/测试,北京外企德科人力资源服务上海有限公司,武汉,15000,不限,本科
241,c/c++，java，js，python、go通用软件开发工程师,北京外企德科人力资源服务上海有限公司,深圳,15000,不限,本科
242,python开发工程师,上海泛微网络科技股份有限公司,上海,18000,1-3年,本科
243,python开发工程师,在线途游（北京）科技有限公司,北京,18000,不限,本科
244,python开发工程师,在线途游（北京）科技有限公司,北京,20000,3-5年,本科
245,python开发工程师,华为技术有限公司,深圳,15000,3-5年,本科
246,python工程师,北京万界数据科技有限责任公司,武汉,10000,1-3年,本科
247,python开发工程师,深圳市长亮科技股份有限公司,深圳,13000,3-5年,本科
248,Python开发工程师,南方报业传媒集团,广州,20000,不限,本科
249,python开发工程师,北京华为数字技术有限公司,西安,15000,不限,本科
250,Python,北京瑞联网络科技有限公司,成都,10000,1-3年,大专
251,python开发工程师,北京游道易网络文化有限公司,上海,15000,1-3年,本科
252,python开发工程师,四川凯普顿信息技术股份有限公司,成都,18000,3-5年,本科
253,python开发工程师,北京瑞联网络科技有限公司,成都,10000,不限,大专
254,python工程师,宁波思艾特软件有限公司,宁波,9000,1-3年,本科
255,C/C++/JAVA/GO/JS/Python软件开发工程师,北京外企德科人力资源服务上海有限公司,深圳,18000,不限,本科
256,Java/前端/Python/C/C++/Go/测试等开发岗,北京外企德科人力资源服务上海有限公司,上海,16000,不限,本科
257,python开发工程师,软通动力技术服务有限公司北京分公司,南京,10000,1-3年,本科
258,python工程师,成都安科创信科技有限公司,成都,9000,1-3年,大专
259,python开发工程师,上海指南车数据科技有限公司,上海,15000,1-3年,本科
260,python,成都中云天下科技有限公司,成都,12000,1-3年,本科
261,python开发工程师,中软国际科技服务有限公司,武汉,10000,1-3年,本科
262,python,龙岩市宏景信息科技有限公司,龙岩,7000,3-5年,不限
263,python开发工程师,上海犀语科技有限公司,上海,8000,1-3年,本科
264,python开发工程师,湖北若火科技有限公司,北京,15000,3-5年,本科
265,python开发工程师,北京优解未来科技有限公司,北京,20000,5-10年,本科
266,python开发,深圳新致软件有限公司,深圳,15000,3-5年,本科
267,Python开发,四川众航信息科技有限公司,南京,10000,1-3年,大专
268,python开发工程师,广州赛意信息科技股份有限公司,广州,9000,1-3年,大专
269,python开发工程师,泰坦科技（深圳）有限公司,深圳,15000,3-5年,本科
270,"各语言开发工程师（Java，c,c++,python,oc,go等等）",北京外企德科人力资源服务上海有限公司,上海,15000,不限,本科
271,c++/java/python/算法工程/前端工程师(六险一金，双休),北京外企德科人力资源服务上海有限公司,武汉,15000,不限,本科
272,python开发工程师,重庆康洲大数据（集团）有限公司,重庆,5000,1-3年,大专
