,职位,公司,城市,区域,薪资,经验,学历,详情页,data
0,Python开发工程师,上海弘连网络科技有限公司,杭州,上城区,10k-20k,1-3年,本科,https://www.lagou.com/wn/jobs/10646303.html,10000.0
1,python开发工程师,成都仰格科技有限责任公司,成都,武侯区,25k-40k,5-10年,本科,https://www.lagou.com/wn/jobs/10468529.html,25000.0
2,python工程师,北京一点网聚信息技术有限公司,北京,朝阳区,30k-50k,5-10年,本科,https://www.lagou.com/wn/jobs/10299315.html,30000.0
3,python开发工程师,北京志翔科技股份有限公司,北京,海淀区,20k-30k,3-5年,本科,https://www.lagou.com/wn/jobs/10583882.html,20000.0
4,python开发工程师,苏州卓曜智能科技有限公司,苏州,昆山市,9k-18k,3-5年,本科,https://www.lagou.com/wn/jobs/10528222.html,9000.0
5,python开发工程师,温州银行股份有限公司,温州,鹿城区,13k-24k,3-5年,本科,https://www.lagou.com/wn/jobs/10192147.html,13000.0
6,python开发工程师,上海速石信息科技有限公司,上海,杨浦区,25k-40k,1-3年,本科,https://www.lagou.com/wn/jobs/9041622.html,25000.0
7,Python开发工程师,云孚科技（北京）有限公司,北京,海淀区,10k-20k,不限,本科,https://www.lagou.com/wn/jobs/9824140.html,10000.0
8,Python开发工程师,深圳微众信用科技股份有限公司,深圳,南山区,15k-25k,3-5年,本科,https://www.lagou.com/wn/jobs/10633430.html,15000.0
9,python开发工程师,达而观信息科技（上海）有限公司,上海,浦东新区,15k-30k,3-5年,本科,https://www.lagou.com/wn/jobs/10621372.html,15000.0
10,python开发工程师,前锦网络信息技术（上海）有限公司,武汉,东湖新技术开发区,8k-13k,1-3年,大专,https://www.lagou.com/wn/jobs/10527967.html,8000.0
11,python开发工程师,深圳市睿服科技有限公司,深圳,福田区,14k-17k,3-5年,本科,https://www.lagou.com/wn/jobs/10333346.html,14000.0
12,python开发工程师,奇点浩翰数据技术（北京）有限公司,北京,东城区,15k-30k,3-5年,本科,https://www.lagou.com/wn/jobs/9980764.html,15000.0
13,python开发工程师,北京睿智思科科技发展有限公司,北京,朝阳区,7k-14k,不限,本科,https://www.lagou.com/wn/jobs/9846723.html,7000.0
14,python开发工程师,达而观信息科技（上海）有限公司,北京,海淀区,12k-18k,1-3年,本科,https://www.lagou.com/wn/jobs/7428913.html,12000.0
15,python开发工程师,达而观信息科技（上海）有限公司,北京,海淀区,12k-18k,1-3年,本科,https://www.lagou.com/wn/jobs/7428913.html,12000.0
16,Python开发工程师,云孚科技（北京）有限公司,北京,海淀区,10k-20k,不限,本科,https://www.lagou.com/wn/jobs/9824140.html,10000.0
17,Python开发工程师,深圳微众信用科技股份有限公司,深圳,南山区,15k-25k,3-5年,本科,https://www.lagou.com/wn/jobs/10633430.html,15000.0
18,python开发工程师,北京志翔科技股份有限公司,北京,海淀区,20k-30k,3-5年,本科,https://www.lagou.com/wn/jobs/10583882.html,20000.0
19,python开发工程师,苏州卓曜智能科技有限公司,苏州,昆山市,9k-18k,3-5年,本科,https://www.lagou.com/wn/jobs/10528222.html,9000.0
20,python工程师,北京一点网聚信息技术有限公司,北京,朝阳区,30k-50k,5-10年,本科,https://www.lagou.com/wn/jobs/10299315.html,30000.0
21,python开发工程师,温州银行股份有限公司,温州,鹿城区,13k-24k,3-5年,本科,https://www.lagou.com/wn/jobs/10192147.html,13000.0
22,python开发工程师,北京睿智思科科技发展有限公司,北京,朝阳区,7k-14k,不限,本科,https://www.lagou.com/wn/jobs/9846723.html,7000.0
23,python开发工程师,上海速石信息科技有限公司,上海,杨浦区,25k-40k,1-3年,本科,https://www.lagou.com/wn/jobs/9041622.html,25000.0
24,python开发,深圳市同和信息技术有限公司,上海,长宁区,12k-20k,3-5年,本科,https://www.lagou.com/wn/jobs/11156457.html,12000.0
25,Python开发工程师,因诺（上海）资产管理有限公司,北京,西城区,20k-30k,1-3年,本科,https://www.lagou.com/wn/jobs/6143122.html,20000.0
26,python开发工程师,华港咨询（深圳）有限公司,深圳,南山区,15k-30k,1-3年,本科,https://www.lagou.com/wn/jobs/9700542.html,15000.0
27,python开发工程师,上海弘连网络科技有限公司,上海,闵行区,10k-20k,1-3年,本科,https://www.lagou.com/wn/jobs/7939699.html,10000.0
28,python开发工程师,成都思而科软件有限公司,成都,高新区,12k-20k,3-5年,本科,https://www.lagou.com/wn/jobs/5501417.html,12000.0
29,Python开发工程师,志诺维思（北京）基因科技有限公司,北京,海淀区,15k-20k,不限,本科,https://www.lagou.com/wn/jobs/11022838.html,15000.0
30,python开发工程师,波克科技股份有限公司,上海,普陀区,18k-35k,3-5年,本科,https://www.lagou.com/wn/jobs/10880152.html,18000.0
31,python开发工程师,杭州米链科技有限公司,杭州,西湖区,15k-30k,3-5年,本科,https://www.lagou.com/wn/jobs/10849163.html,15000.0
32,python开发工程师,达而观信息科技（上海）有限公司,上海,浦东新区,12k-18k,1-3年,本科,https://www.lagou.com/wn/jobs/11084556.html,12000.0
33,python开发工程师,普华永道商务服务（成都）有限公司,广州,天河区,12k-18k,1-3年,本科,https://www.lagou.com/wn/jobs/11039934.html,12000.0
34,python开发工程师,鼐特（北京）信息技术有限公司,北京,朝阳区,15k-25k,1-3年,本科,https://www.lagou.com/wn/jobs/11135644.html,15000.0
35,python开发工程师,翰竺科技（北京）有限公司,深圳,南山区,10k-20k,3-5年,本科,https://www.lagou.com/wn/jobs/11114311.html,10000.0
36,python开发,深圳市睿服科技有限公司,深圳,南山区,11k-14k,1-3年,本科,https://www.lagou.com/wn/jobs/11110828.html,11000.0
37,python开发工程师,深圳市同和信息技术有限公司,上海,长宁区,15k-20k,5-10年,本科,https://www.lagou.com/wn/jobs/11190759.html,15000.0
38,python开发工程师,云孚科技（北京）有限公司,哈尔滨,南岗区,8k-16k,不限,本科,https://www.lagou.com/wn/jobs/11173210.html,8000.0
39,python开发工程师,深圳市脉山龙信息技术股份有限公司,深圳,光明区,13k-17k,1-3年,大专,https://www.lagou.com/wn/jobs/11153950.html,13000.0
40,python开发工程师,广东美亚旅游科技集团股份有限公司,广州,天河区,12k-15k,3-5年,本科,https://www.lagou.com/wn/jobs/11152106.html,12000.0
41,python开发工程师,友邦资讯科技（广州）有限公司,广州,海珠区,15k-26k,5-10年,本科,https://www.lagou.com/wn/jobs/11145893.html,15000.0
42,python开发工程师,成都思而科软件有限公司,上海,徐汇区,15k-25k,3-5年,本科,https://www.lagou.com/wn/jobs/11143731.html,15000.0
43,python开发工程师,广东美亚旅游科技集团股份有限公司,广州,天河区,12k-15k,3-5年,本科,https://www.lagou.com/wn/jobs/11143169.html,12000.0
44,python开发工程师,深圳市同和信息技术有限公司,深圳,南山区,16k-18k,5-10年,本科,https://www.lagou.com/wn/jobs/11138717.html,16000.0
45,Python开发工程师,志诺维思（北京）基因科技有限公司,北京,海淀区,15k-20k,不限,本科,https://www.lagou.com/wn/jobs/11022838.html,15000.0
46,python开发工程师,波克科技股份有限公司,上海,普陀区,18k-35k,3-5年,本科,https://www.lagou.com/wn/jobs/10880152.html,18000.0
47,python开发工程师,杭州米链科技有限公司,杭州,西湖区,15k-30k,3-5年,本科,https://www.lagou.com/wn/jobs/10849163.html,15000.0
48,python开发工程师,达而观信息科技（上海）有限公司,上海,浦东新区,12k-18k,1-3年,本科,https://www.lagou.com/wn/jobs/11084556.html,12000.0
49,python开发工程师,普华永道商务服务（成都）有限公司,广州,天河区,12k-18k,1-3年,本科,https://www.lagou.com/wn/jobs/11039934.html,12000.0
50,python开发工程师,鼐特（北京）信息技术有限公司,北京,朝阳区,15k-25k,1-3年,本科,https://www.lagou.com/wn/jobs/11135644.html,15000.0
51,python开发工程师,翰竺科技（北京）有限公司,深圳,南山区,10k-20k,3-5年,本科,https://www.lagou.com/wn/jobs/11114311.html,10000.0
52,python开发,深圳市睿服科技有限公司,深圳,南山区,11k-14k,1-3年,本科,https://www.lagou.com/wn/jobs/11110828.html,11000.0
53,python开发工程师,深圳市同和信息技术有限公司,上海,长宁区,15k-20k,5-10年,本科,https://www.lagou.com/wn/jobs/11190759.html,15000.0
54,python开发工程师,云孚科技（北京）有限公司,哈尔滨,南岗区,8k-16k,不限,本科,https://www.lagou.com/wn/jobs/11173210.html,8000.0
55,python开发工程师,深圳市脉山龙信息技术股份有限公司,深圳,光明区,13k-17k,1-3年,大专,https://www.lagou.com/wn/jobs/11153950.html,13000.0
56,python开发工程师,广东美亚旅游科技集团股份有限公司,广州,天河区,12k-15k,3-5年,本科,https://www.lagou.com/wn/jobs/11152106.html,12000.0
57,python开发工程师,友邦资讯科技（广州）有限公司,广州,海珠区,15k-26k,5-10年,本科,https://www.lagou.com/wn/jobs/11145893.html,15000.0
58,python开发工程师,成都思而科软件有限公司,上海,徐汇区,15k-25k,3-5年,本科,https://www.lagou.com/wn/jobs/11143731.html,15000.0
59,python开发工程师,广东美亚旅游科技集团股份有限公司,广州,天河区,12k-15k,3-5年,本科,https://www.lagou.com/wn/jobs/11143169.html,12000.0
60,python开发工程师,友邦资讯科技（广州）有限公司,广州,海珠区,15k-26k,5-10年,本科,https://www.lagou.com/wn/jobs/11145893.html,15000.0
61,python开发工程师,成都思而科软件有限公司,上海,徐汇区,15k-25k,3-5年,本科,https://www.lagou.com/wn/jobs/11143731.html,15000.0
62,python开发工程师,广东美亚旅游科技集团股份有限公司,广州,天河区,12k-15k,3-5年,本科,https://www.lagou.com/wn/jobs/11143169.html,12000.0
63,软件工程师（C++/ Python 机器人智能 校招/社招）,北京迁移科技有限公司,北京,海淀区,18k-35k,不限,本科,https://www.lagou.com/wn/jobs/9661179.html,18000.0
64,服务器python开发工程师 (MJ000044),深圳淘乐网络科技有限公司,深圳,南山区,12k-20k,1-3年,本科,https://www.lagou.com/wn/jobs/10088560.html,12000.0
65,中高级python开发工程师,广州优路网络科技有限公司,广州,天河区,13k-18k,3-5年,本科,https://www.lagou.com/wn/jobs/9659562.html,13000.0
66,python后端开发工程师,广州探迹科技有限公司,广州,番禺区,20k-35k,3-5年,本科,https://www.lagou.com/wn/jobs/8068663.html,20000.0
67,高级python,达而观信息科技（上海）有限公司,上海,浦东新区,15k-25k,3-5年,本科,https://www.lagou.com/wn/jobs/6947717.html,15000.0
68,Python高级（SG0303）,长沙蜜獾信息科技有限公司,长沙,岳麓区,10k-15k,3-5年,本科,https://www.lagou.com/wn/jobs/6643067.html,10000.0
69,高级python开发工程师,圆通速递有限公司,杭州,余杭区,22k-28k,5-10年,本科,https://www.lagou.com/wn/jobs/2631153.html,22000.0
70,python数据开发工程师,沃尔玛（中国）投资有限公司,深圳,福田区,15k-23k,5-10年,本科,https://www.lagou.com/wn/jobs/10360591.html,15000.0
71,上海python开发工程师,达而观信息科技（上海）有限公司,上海,浦东新区,12k-24k,不限,本科,https://www.lagou.com/wn/jobs/10255349.html,12000.0
72,客户端开发工程师（python) (MJ000040),深圳淘乐网络科技有限公司,深圳,南山区,10k-20k,1-3年,本科,https://www.lagou.com/wn/jobs/10084042.html,10000.0
73,Python开发工程师（FUNC 平台）,上海观测未来信息技术有限公司,上海,浦东新区,13k-18k,不限,本科,https://www.lagou.com/wn/jobs/10058149.html,13000.0
74,Python 研发工程师,抖音视界（北京）有限公司,北京,海淀区,30k-60k,不限,本科,https://www.lagou.com/wn/jobs/9937400.html,30000.0
75,python中高级后端开发工程师,维我软件（上海）有限公司,北京,朝阳区,25k-40k,5-10年,本科,https://www.lagou.com/wn/jobs/10417282.html,25000.0
76,python数据开发工程师,沃尔玛（中国）投资有限公司,深圳,福田区,15k-23k,5-10年,本科,https://www.lagou.com/wn/jobs/10360591.html,15000.0
77,客户端开发工程师（python) (MJ000040),深圳淘乐网络科技有限公司,深圳,南山区,10k-20k,1-3年,本科,https://www.lagou.com/wn/jobs/10084042.html,10000.0
78,python高级开发工程师,深圳市言羽科技有限公司,北京,海淀区,30k-50k,1-3年,本科,https://www.lagou.com/wn/jobs/9504736.html,30000.0
79,Python后端高级开发工程师 — 抖音,抖音视界（北京）有限公司,深圳,南山区,30k-60k,1-3年,本科,https://www.lagou.com/wn/jobs/9337894.html,30000.0
80,高级python开发工程师,上海晓途网络科技有限公司,上海,长宁区,20k-40k,5-10年,本科,https://www.lagou.com/wn/jobs/7961332.html,20000.0
81,python工程师（兼职）,美译通（深圳）翻译有限公司,深圳,南山区,2k-4k,不限,硕士,https://www.lagou.com/wn/jobs/7636132.html,2000.0
82,Python高级（SG0303）,长沙蜜獾信息科技有限公司,长沙,岳麓区,10k-15k,3-5年,本科,https://www.lagou.com/wn/jobs/6643067.html,10000.0
83,高级python开发工程师,圆通速递有限公司,杭州,余杭区,22k-28k,5-10年,本科,https://www.lagou.com/wn/jobs/2631153.html,22000.0
84,Python/Odoo高级开发工程师G00850,深圳市雨禾伟业实业有限公司,深圳,罗湖区,20k-35k,5-10年,本科,https://www.lagou.com/wn/jobs/10447777.html,20000.0
85,上海python开发工程师,达而观信息科技（上海）有限公司,上海,浦东新区,12k-24k,不限,本科,https://www.lagou.com/wn/jobs/10255349.html,12000.0
86,服务器python开发工程师 (MJ000044),深圳淘乐网络科技有限公司,深圳,南山区,12k-20k,1-3年,本科,https://www.lagou.com/wn/jobs/10088560.html,12000.0
87,高级云平台开发工程师（go python）,北京趣拿软件科技有限公司,北京,海淀区,30k-50k,5-10年,本科,https://www.lagou.com/wn/jobs/9746162.html,30000.0
88,python开发工程师-电商,抖音视界（北京）有限公司,杭州,余杭区,20k-40k,3-5年,本科,https://www.lagou.com/wn/jobs/9749088.html,20000.0
89,中高级python开发工程师,广州优路网络科技有限公司,广州,天河区,13k-18k,3-5年,本科,https://www.lagou.com/wn/jobs/9659562.html,13000.0
90,python开发工程师（百度）,上海微创软件股份有限公司,北京,海淀区,14k-16k,1-3年,本科,https://www.lagou.com/wn/jobs/9382986.html,14000.0
91,python后端开发工程师,广州探迹科技有限公司,广州,番禺区,20k-35k,3-5年,本科,https://www.lagou.com/wn/jobs/8068663.html,20000.0
92,python后端,上海贞历网络科技有限公司,上海,长宁区,15k-30k,1-3年,本科,https://www.lagou.com/wn/jobs/6295672.html,15000.0
93,python开发工程师（加班少，证券行业不补班）,深圳市睿服科技有限公司,深圳,罗湖区,14k-19k,3-5年,本科,https://www.lagou.com/wn/jobs/11191755.html,14000.0
94,Python开发交付工程师,浙江保融科技股份有限公司,杭州,余杭区,13k-26k,3-5年,本科,https://www.lagou.com/wn/jobs/11002499.html,13000.0
95,Java/前端/python/c++/c/测试,北京外企德科人力资源服务上海有限公司,西安,雁塔区,15k-30k,不限,本科,https://www.lagou.com/wn/jobs/10647346.html,15000.0
96,Java/python/C++/C/测试,北京外企德科人力资源服务上海有限公司,成都,郫都区,15k-30k,不限,本科,https://www.lagou.com/wn/jobs/10566155.html,15000.0
97,python数据开发工程师,南京玖奕私募基金管理合伙企业（有限合伙）,上海,浦东新区,15k-25k,3-5年,本科,https://www.lagou.com/wn/jobs/11096312.html,15000.0
98,高级项目开发工程师-Python/GO-BJ(A73030),上海茗日智能科技有限公司,北京,朝阳区,16k-24k,3-5年,本科,https://www.lagou.com/wn/jobs/11186537.html,16000.0
99,python后端开发工程师,深圳壹木航科技有限公司,深圳,南山区,13k-22k,1-3年,本科,https://www.lagou.com/wn/jobs/11139712.html,13000.0
100,深圳python开发工程师,达而观信息科技（上海）有限公司,深圳,南山区,15k-30k,1-3年,本科,https://www.lagou.com/wn/jobs/10990570.html,15000.0
101,python数据分析师,北京志翔科技股份有限公司,北京,海淀区,15k-20k,不限,本科,https://www.lagou.com/wn/jobs/10876400.html,15000.0
102,测试工程师（python）,西安人瑞网络科技有限公司,南京,雨花台区,10k-20k,1-3年,本科,https://www.lagou.com/wn/jobs/10804562.html,10000.0
103,Python开发工程师(数据处理开发方向),上海宝云网络科技有限公司,上海,浦东新区,12k-20k,3-5年,本科,https://www.lagou.com/wn/jobs/10803147.html,12000.0
104,python后端开发工程师,北京牧游科技有限公司,北京,海淀区,10k-15k,1-3年,本科,https://www.lagou.com/wn/jobs/10773324.html,10000.0
105,java/c/c++/python/go/js/web/测试/软件开发/双休,北京外企德科人力资源服务上海有限公司,成都,郫都区,16k-30k,不限,本科,https://www.lagou.com/wn/jobs/10540808.html,16000.0
106,C++/C/Java/Python/GO开发工程师,北京外企德科人力资源服务上海有限公司,深圳,龙岗区,17k-25k,不限,本科,https://www.lagou.com/wn/jobs/10480551.html,17000.0
107,python开发工程师(2023届应届毕业生),因诺（上海）资产管理有限公司,北京,西城区,15k-25k,不限,本科,https://www.lagou.com/wn/jobs/10740610.html,15000.0
108,软件开发python/c++/c/java,华为技术有限公司,苏州,虎丘区,15k-28k,3-5年,本科,https://www.lagou.com/wn/jobs/10729072.html,15000.0
109,Python研发工程师(JD52V),多点生活（中国）数字科技有限公司,成都,高新区,15k-25k,3-5年,本科,https://www.lagou.com/wn/jobs/10718659.html,15000.0
110,软件开发python/c++/c/java,华为技术有限公司,西安,雁塔区,15k-28k,3-5年,本科,https://www.lagou.com/wn/jobs/10688390.html,15000.0
111,ERP实施顾问(Python开发),成都普赛睿生物医药科技有限公司,成都,高新区,8k-15k,1-3年,本科,https://www.lagou.com/wn/jobs/10676829.html,8000.0
112,python量化工程师,北京同道大象科技有限公司,北京,朝阳区,20k-25k,3-5年,本科,https://www.lagou.com/wn/jobs/10677581.html,20000.0
113,技术经理/总监（Java/PHP/python ）,广东保椿养老产业集团股份有限公司,广州,白云区,20k-40k,5-10年,本科,https://www.lagou.com/wn/jobs/10678117.html,20000.0
114,高级python开发工程师,普华永道商务服务（成都）有限公司,成都,高新区,12k-14k,3-5年,本科,https://www.lagou.com/wn/jobs/10662680.html,12000.0
115,运维开发工程师（python/go）,富途网络科技（深圳）有限公司,深圳,南山区,15k-30k,3-5年,本科,https://www.lagou.com/wn/jobs/10666317.html,15000.0
116,python开发 (MJ000087),武汉佰悦互娱科技有限公司,广州,天河区,22k-40k,不限,本科,https://www.lagou.com/wn/jobs/11030842.html,22000.0
117,python后端开发工程师,圆通速递有限公司,杭州,余杭区,15k-30k,5-10年,本科,https://www.lagou.com/wn/jobs/11021040.html,15000.0
118,高级python开发工程师,证通股份有限公司,上海,浦东新区,20k-25k,3-5年,硕士,https://www.lagou.com/wn/jobs/11019709.html,20000.0
119,知识图谱开发工程师（Python）,证通股份有限公司,上海,浦东新区,15k-22k,1-3年,本科,https://www.lagou.com/wn/jobs/11019695.html,15000.0
120,软件开发（Java、C++、Python）,北京外企德科人力资源服务上海有限公司,深圳,龙岗区,15k-30k,不限,本科,https://www.lagou.com/wn/jobs/11003352.html,15000.0
121,c++/java/python/go开发工程师,北京外企德科人力资源服务上海有限公司,上海,浦东新区,20k-40k,不限,本科,https://www.lagou.com/wn/jobs/11180407.html,20000.0
122,Python实习生,北京中软国际教育科技股份有限公司,西安,碑林区,6k-10k,不限,大专,https://www.lagou.com/wn/jobs/11017515.html,6000.0
123,python开发工程师 (MJ005637),广州希音供应链管理有限公司,深圳,南山区,20k-40k,3-5年,本科,https://www.lagou.com/wn/jobs/11015653.html,20000.0
124,Python开发工程师（RPA业务部）,浙江保融科技股份有限公司,杭州,余杭区,15k-30k,3-5年,本科,https://www.lagou.com/wn/jobs/11002659.html,15000.0
125,自动化测试工程师（web、接口自动化；python/java）,上海亘岩网络科技有限公司,上海,闵行区,15k-30k,3-5年,本科,https://www.lagou.com/wn/jobs/10978365.html,15000.0
126,后端研发工程师(Python)(JB79P),上海茗日智能科技有限公司,上海,静安区,12k-24k,1-3年,本科,https://www.lagou.com/wn/jobs/10951524.html,12000.0
127,后端开发工程师 (Python | 应用开发 | SH)(J979P),上海茗日智能科技有限公司,上海,静安区,12k-24k,1-3年,本科,https://www.lagou.com/wn/jobs/10951528.html,12000.0
128,后端开发工程师（python方向）,广州凌隆网络科技有限公司,广州,天河区,8k-15k,1-3年,本科,https://www.lagou.com/wn/jobs/10936948.html,8000.0
129,运维开发工程师(python),鲸灵云（杭州）智能有限公司,杭州,余杭区,17k-28k,5-10年,本科,https://www.lagou.com/wn/jobs/10931819.html,17000.0
130,python数据分析经理,北京志翔科技股份有限公司,北京,海淀区,25k-35k,3-5年,本科,https://www.lagou.com/wn/jobs/10923821.html,25000.0
131,python后端开发工程师,加绩（上海）科技服务有限公司,上海,浦东新区,15k-20k,3-5年,本科,https://www.lagou.com/wn/jobs/10915380.html,15000.0
132,python后端开发工程师,成都卡社诺网络技术有限责任公司,成都,武侯区,25k-35k,5-10年,本科,https://www.lagou.com/wn/jobs/10916718.html,25000.0
133,Python量化工程师,北京同道大象科技有限公司,北京,朝阳区,20k-30k,3-5年,本科,https://www.lagou.com/wn/jobs/10913070.html,20000.0
134,python爬虫工程师,深圳市乐思软件技术有限公司,深圳,南山区,9k-12k,1-3年,本科,https://www.lagou.com/wn/jobs/10894754.html,9000.0
135,Java/前端/python/c++/c/测试,北京外企德科人力资源服务上海有限公司,西安,雁塔区,15k-30k,不限,本科,https://www.lagou.com/wn/jobs/10647346.html,15000.0
136,C++/C/Java/Python/GO开发工程师,北京外企德科人力资源服务上海有限公司,深圳,龙岗区,17k-25k,不限,本科,https://www.lagou.com/wn/jobs/10480551.html,17000.0
137,宝马对话AI | 后端开发Python工程师(J779P),上海茗日智能科技有限公司,北京,朝阳区,12k-24k,1-3年,本科,https://www.lagou.com/wn/jobs/10948921.html,12000.0
138,python主讲老师,网易（杭州）网络有限公司,北京,海淀区,15k-25k,3-5年,本科,https://www.lagou.com/wn/jobs/10875711.html,15000.0
139,RPA/Python开发工程师,普华永道商务服务（成都）有限公司,成都,高新区,10k-18k,1-3年,本科,https://www.lagou.com/wn/jobs/10839595.html,10000.0
140,中级python开发工程师,北京中北信科技发展有限公司,北京,石景山区,15k-18k,3-5年,大专,https://www.lagou.com/wn/jobs/11083677.html,15000.0
141,Python开发工程师 (MJ000613),北京红棉小冰科技有限公司,北京,海淀区,25k-45k,3-5年,本科,https://www.lagou.com/wn/jobs/11077505.html,25000.0
142,python资深软件工程师,维我软件（上海）有限公司,北京,朝阳区,35k-50k,10年以上,本科,https://www.lagou.com/wn/jobs/11076612.html,35000.0
143,python后端开发工程师,成都俊云科技有限公司,成都,高新区,17k-22k,5-10年,本科,https://www.lagou.com/wn/jobs/11055545.html,17000.0
144,中级python开发 (MJ000065),赞同科技股份有限公司,广州,海珠区,10k-15k,1-3年,大专,https://www.lagou.com/wn/jobs/11054495.html,10000.0
145,python高级后端开发工程师,维我软件（上海）有限公司,北京,朝阳区,30k-40k,5-10年,本科,https://www.lagou.com/wn/jobs/11046156.html,30000.0
146,上海Python后端高级开发工程师,达而观信息科技（上海）有限公司,上海,浦东新区,20k-30k,3-5年,本科,https://www.lagou.com/wn/jobs/11044120.html,20000.0
147,Python系统开发工程师,上海仲阳天王星数据科技有限公司,成都,武侯区,15k-30k,不限,本科,https://www.lagou.com/wn/jobs/11042763.html,15000.0
148,Python系统开发工程师,上海仲阳天王星数据科技有限公司,上海,浦东新区,15k-30k,不限,本科,https://www.lagou.com/wn/jobs/11042764.html,15000.0
149,python云服务工程师,杭州映云科技有限公司,杭州,余杭区,20k-35k,3-5年,本科,https://www.lagou.com/wn/jobs/11039180.html,20000.0
