岗位,企业,城市,薪资,经验,学历
ios开发工程师,雷神（武汉）网络技术有限公司,武汉,15k-20k,5-10年,本科
ios工程师,贝氏标准（北京）科技有限公司,北京,15k-20k,3-5年,大专
iOS开发工程师,广州同玩科技有限公司,广州,12k-18k,3-5年,本科
iOS开发工程师,深圳市天创进科技有限公司,深圳,20k-25k,3-5年,大专
ios高级开发工程师,浙江新蓝网络传媒有限公司,杭州,15k-28k,3-5年,本科
ios开发工程师,宝宝巴士股份有限公司,福州,10k-18k,1-3年,本科
高级ios开发工程师,杭州睿琪软件有限公司,杭州,18k-35k,3-5年,本科
ios开发工程师,星河闪耀信息技术（成都）有限公司,深圳,15k-20k,3-5年,本科
ios开发工程师,广州优聚大鱼科技有限公司,广州,15k-25k,1-3年,本科
ios高级开发工程师,腾讯科技（深圳）有限公司,深圳,40k-80k,不限,本科
高级ios开发工程师,亿磐系统（深圳）有限公司,苏州,14k-25k,5-10年,不限
ios高级开发工程师,深圳哇哇鱼网络科技有限公司,深圳,21k-30k,3-5年,本科
ios开发工程师,北京臻盛网络技术有限公司,北京,16k-22k,3-5年,本科
ios开发工程师,贝壳找房（北京）科技有限公司,北京,35k-45k,5-10年,本科
ios开发工程师,北京中电博亚科技有限公司,北京,10k-20k,1-3年,本科
ios开发工程师,上海佑医欣健康管理有限公司,上海,25k-45k,5-10年,本科
ios开发工程师,深圳市即构科技有限公司,深圳,20k-35k,5-10年,本科
高级IOS开发工程师,成都德鲁伊科技有限公司,成都,15k-25k,5-10年,本科
ios开发工程师,上海集度汽车有限公司,北京,25k-50k,3-5年,本科
ios开发工程师,东莞霖感科技有限公司,东莞,10k-15k,1-3年,大专
ios开发工程师,杭州睿琪软件有限公司,杭州,20k-40k,5-10年,本科
ios开发工程师,杭州盘丝洞网络科技有限公司,杭州,15k-20k,3-5年,大专
iOS开发工程师,上海绘享网络科技有限公司,上海,15k-22k,1-3年,本科
ios开发工程师,上海零与壹软件有限公司,上海,10k-20k,不限,大专
ios开发工程师,华安财产保险股份有限公司,深圳,15k-20k,3-5年,本科
iOS开发工程师,清枫（北京）科技有限公司,北京,20k-35k,1-3年,本科
IOS开发工程师,广州卓牛信息科技有限公司,广州,13k-20k,3-5年,本科
ios开发工程师,前锦网络信息技术（上海）有限公司,上海,20k-30k,1-3年,本科
ios开发工程师,武汉速诺科技有限公司,武汉,15k-30k,3-5年,本科
iOS开发工程师,深圳市天创进科技有限公司,深圳,10k-15k,1年以下,本科
ios开发工程师,宝宝巴士股份有限公司,福州,10k-18k,1-3年,本科
ios开发工程师,广州芦苇信息科技有限公司,广州,15k-20k,3-5年,本科
ios高级开发工程师,腾讯科技（深圳）有限公司,深圳,40k-80k,不限,本科
ios开发工程师,深圳乐言科技有限公司,深圳,7k-12k,不限,本科
ios高级开发工程师,深圳哇哇鱼网络科技有限公司,深圳,21k-30k,3-5年,本科
ios开发工程师,北京摩尔斯科技有限公司,北京,18k-35k,3-5年,本科
ios开发工程师,东莞霖感科技有限公司,东莞,8k-15k,1-3年,大专
ios开发工程师,东莞霖感科技有限公司,东莞,10k-15k,1-3年,大专
iOS开发工程师,北京三快在线科技有限公司,北京,30k-60k,1-3年,本科
ios高级开发工程师,北京指南针科技发展股份有限公司,北京,20k-30k,5-10年,本科
ios开发工程师,腾讯科技（深圳）有限公司,深圳,12k-20k,1-3年,本科
高级iOS开发工程师,广州优路网络科技有限公司,广州,23k-35k,5-10年,大专
ios开发工程师,北京博学明辨科技有限公司,北京,15k-20k,不限,硕士
iOS开发工程师,深圳市财象云科技有限公司,深圳,14k-28k,1-3年,本科
iOS开发工程师,北京发现角科技有限公司,北京,15k-25k,3-5年,本科
ios开发工程师,上海集度汽车有限公司,北京,25k-50k,3-5年,本科
iOS开发工程师,北京三快在线科技有限公司,北京,30k-60k,1-3年,本科
iOS开发工程师,中国民航信息网络股份有限公司重庆分公司,重庆,5k-10k,1-3年,本科
ios开发工程师,杭州睿琪软件有限公司,杭州,20k-40k,5-10年,本科
ios开发工程师,深圳市吉祥腾达科技有限公司,成都,15k-30k,3-5年,本科
iOS开发工程师,上海绘享网络科技有限公司,上海,15k-22k,1-3年,本科
ios开发工程师,北京三快在线科技有限公司,北京,25k-50k,3-5年,本科
ios高级开发工程师,上海瑛麒动漫科技有限公司,厦门,15k-25k,5-10年,本科
ios开发工程师,华安财产保险股份有限公司,深圳,15k-20k,3-5年,本科
ios开发工程师,前锦网络信息技术（上海）有限公司,上海,20k-30k,1-3年,本科
ios开发工程师,深圳爱玩网络科技股份有限公司,深圳,15k-20k,3-5年,本科
iOS开发工程师,北京智者天下科技有限公司,北京,20k-35k,3-5年,本科
ios开发工程师,广州优聚大鱼科技有限公司,广州,15k-25k,1-3年,本科
ios高级开发工程师,腾讯科技（深圳）有限公司,深圳,40k-80k,不限,本科
高级ios开发工程师,亿磐系统（深圳）有限公司,苏州,14k-25k,5-10年,不限
ios开发工程师,建信金融科技有限责任公司,深圳,20k-40k,3-5年,本科
ios开发工程师,深圳乐言科技有限公司,深圳,7k-12k,不限,本科
ios开发工程师,北京中电博亚科技有限公司,北京,10k-20k,1-3年,本科
ios开发工程师,武汉微派网络科技有限公司,武汉,15k-25k,1-3年,本科
ios开发工程师,北京摩尔斯科技有限公司,成都,15k-25k,3-5年,本科
ios开发工程师,深圳市即构科技有限公司,深圳,20k-35k,5-10年,本科
ios开发工程师,东莞霖感科技有限公司,东莞,8k-15k,1-3年,大专
ios高级开发工程师,南京伯索网络科技有限公司,南京,18k-35k,3-5年,本科
ios开发工程师,北京新浪彩通网络技术有限公司,北京,8k-14k,1-3年,本科
iOS高级开发工程师,北京三快在线科技有限公司,北京,30k-60k,5-10年,本科
ios高级开发工程师,北京指南针科技发展股份有限公司,北京,20k-30k,5-10年,本科
高级ios开发工程师,北京一点网聚信息技术有限公司,北京,25k-50k,3-5年,本科
ios开发工程师,北京开心灿烂科技有限公司,郑州,13k-25k,5-10年,本科
ios开发工程师,北京博学明辨科技有限公司,北京,15k-20k,不限,硕士
ios开发工程师,平安付智能技术有限公司,上海,15k-25k,3-5年,本科
ios开发工程师,北京三快在线科技有限公司,北京,25k-50k,3-5年,本科
ios高级开发工程师,上海瑛麒动漫科技有限公司,厦门,15k-25k,5-10年,本科
iOS开发工程师,遍享信息技术（上海）有限公司,上海,12k-24k,3-5年,大专
iOS开发工程师,浙江云之涞网络科技有限公司,杭州,7k-12k,1-3年,大专
高级ios开发工程师,成都才来聚人力资源有限公司,成都,10k-20k,3-5年,大专
高级ios开发工程师,成都才来聚人力资源有限公司,成都,18k-25k,5-10年,大专
ios/mac 高级开发工程师,杭州弗兰科信息安全科技有限公司,杭州,15k-25k,3-5年,本科
iOS架构师,抖音视界（北京）有限公司,杭州,30k-60k,不限,本科
iOS资深研发工程师-抖音,抖音视界（北京）有限公司,北京,25k-50k,不限,本科
社区iOS开发工程师,北京智者天下科技有限公司,北京,25k-35k,3-5年,本科
高级海外广告优化师-ios端,北京达佳互联信息技术有限公司,北京,20k-30k,5-10年,本科
高级 iOS 开发工程师,深圳大宇无限科技有限公司,深圳,30k-60k,不限,本科
iOS平台优化工程师,成都西山居互动娱乐科技有限公司珠海分公司,珠海,20k-40k,不限,本科
iOS 研发工程师 (MJ003795),北京智者天下科技有限公司,北京,25k-30k,1-3年,本科
高级ios安卓web前端开发主管,深圳唐果屋智能科技有限公司,深圳,23k-45k,3-5年,本科
互联网业务-iOS多媒体开发工程师,富途网络科技（深圳）有限公司,深圳,18k-36k,3-5年,本科
资深IOS研发工程师-非中商业平台,抖音视界（北京）有限公司,北京,40k-80k,不限,本科
iOS-Swift/Flutter,伍柒必乐科技（成都）有限公司,成都,12k-18k,5-10年,本科
IOS开发工程师（初级）,贝氏标准（北京）科技有限公司,北京,8k-15k,1-3年,大专
iOS 研发工程师 (MJ003795),北京智者天下科技有限公司,北京,25k-30k,1-3年,本科
外卖技术-大前端研发工程师（Android、iOS、FE）,北京三快在线科技有限公司,北京,30k-50k,3-5年,本科
IOS开发工程师（游戏业务）,抖音视界（北京）有限公司,广州,25k-50k,3-5年,本科
iOS 客户端开发-云游戏 (MJ003272),上海米哈游网络科技股份有限公司,上海,25k-35k,不限,不限
高级iOS开发工程师 (MJ000769),广州希音供应链管理有限公司,深圳,20k-40k,3-5年,本科
金融业务-iOS开发工程师,富途网络科技（深圳）有限公司,深圳,16k-32k,1-3年,本科
iOS架构师(J3TNV),掌阅科技股份有限公司,北京,35k-50k,5-10年,本科
中级iOS研发工程师,广州优路网络科技有限公司,广州,16k-20k,3-5年,大专
移动端产品经理（偏IOS方向）,深圳星创信息技术有限公司,深圳,10k-15k,1-3年,本科
高级iOS研发工程师(W86P),掌阅科技股份有限公司,北京,20k-40k,3-5年,本科
iOS研发工程师（商家端）,上海寻梦信息技术有限公司,上海,30k-60k,3-5年,本科
iOS研发leader ― 抖音,抖音视界（北京）有限公司,北京,50k-100k,不限,本科
IOS开发工程师（游戏业务）,抖音视界（北京）有限公司,广州,25k-50k,3-5年,本科
ios高级研发工程师,广州优聚大鱼科技有限公司,广州,15k-25k,3-5年,本科
Flutter开发工程师（iOS/android）,深圳市天创进科技有限公司,深圳,15k-25k,3-5年,大专
资深IOS开发工程师（无线框架）,携程计算机技术（上海）有限公司,上海,30k-50k,5-10年,本科
iOS架构师(J3TNV),掌阅科技股份有限公司,北京,35k-50k,5-10年,本科
android/ios开发工程师,携程计算机技术（上海）有限公司,上海,30k-50k,5-10年,本科
中级iOS研发工程师,广州优路网络科技有限公司,广州,16k-20k,3-5年,大专
高级iOS研发工程师(W86P),掌阅科技股份有限公司,北京,20k-40k,3-5年,本科
iOS研发工程师（买菜方向）(T010994),上海寻梦信息技术有限公司,上海,30k-60k,3-5年,本科
iOS研发工程师（C端）(T000093),上海寻梦信息技术有限公司,上海,25k-50k,不限,本科
iOS开发工程师（收钱吧APP),上海收钱吧互联网科技股份有限公司,上海,20k-35k,3-5年,本科
高级iOS开发工程师 (MJ001653),上海嘉银金融科技股份有限公司,上海,25k-40k,5-10年,本科
iOS开发工程师(A226152),北京懂球帝科技有限公司,杭州,15k-30k,3-5年,本科
IOS工程师(国际)-长沙 (MJ000501),数字马力（杭州）信息技术有限公司,长沙,10k-18k,3-5年,本科
iOS开发工程师―今日头条,抖音视界（北京）有限公司,北京,25k-50k,不限,本科
iOS开发工程师-今日头条,抖音视界（北京）有限公司,深圳,25k-50k,3-5年,本科
IM平台-客户端（IOS/安卓/PC）开发负责人,美的集团股份有限公司,佛山,30k-60k,5-10年,本科
IOS开发工程师(深圳),深圳市时代华盛网络科技有限公司,深圳,18k-30k,5-10年,本科
iOS开发工程师（广州）(J11714),建信金融科技有限责任公司,广州,15k-25k,3-5年,本科
外卖技术-大前端研发工程师（Android、iOS、FE）,北京三快在线科技有限公司,北京,30k-50k,3-5年,本科
高级IOS研发工程师,北京小熊博望科技有限公司,北京,25k-50k,3-5年,本科
高级IOS开发工程师 (MJ015360),携程计算机技术（上海）有限公司,上海,30k-45k,5-10年,本科
安卓/ios/web 前端开发工程师,深圳唐果屋智能科技有限公司,深圳,15k-25k,3-5年,本科
iOS开发工程师【No.003】,北京优幕科技有限责任公司,北京,15k-30k,3-5年,本科
高级ios研发工程师,深圳市求一科技有限公司,深圳,18k-28k,3-5年,本科
ios研发工程师,深圳市求一科技有限公司,深圳,13k-18k,1-3年,本科
iOS/Mac客户端开发工程师,富途网络科技（深圳）有限公司,深圳,30k-60k,3-5年,本科
ios高级研发工程师,广州优聚大鱼科技有限公司,广州,15k-25k,3-5年,本科
初级iOS研发工程师,广州优路网络科技有限公司,广州,8k-13k,1-3年,大专
Android/iOS 开发工程师（智能创作方向）,抖音视界（北京）有限公司,广州,30k-60k,1-3年,本科
iOS 高级研发工程师（国际化产品）,抖音视界（北京）有限公司,上海,20k-40k,3-5年,本科
Flutter开发工程师（iOS/android）,深圳市天创进科技有限公司,深圳,15k-25k,3-5年,大专
资深IOS开发工程师（无线框架）,携程计算机技术（上海）有限公司,上海,30k-50k,5-10年,本科
android/ios开发工程师,携程计算机技术（上海）有限公司,上海,30k-50k,5-10年,本科
移动音视频工程师 - iOS方向 (MJ007120),北京搜狐新媒体信息技术有限公司,广州,15k-30k,不限,本科
iOS研发工程师（买菜方向）(T010994),上海寻梦信息技术有限公司,上海,30k-60k,3-5年,本科
资深ios开发工程师,南京伯索网络科技有限公司,南京,20k-35k,5-10年,本科
iOS 研发工程师（性能优化方向）(T010508,上海寻梦信息技术有限公司,上海,30k-60k,不限,本科
ios/mac 高级开发工程师,杭州弗兰科信息安全科技有限公司,杭州,15k-25k,3-5年,本科
社区iOS开发工程师,北京智者天下科技有限公司,北京,25k-35k,3-5年,本科
高级iOS开发工程师 (MJ001653),上海嘉银金融科技股份有限公司,上海,25k-40k,5-10年,本科
iOS开发工程师（直播）-【主站】,北京达佳互联信息技术有限公司,北京,15k-30k,1-3年,本科
高级 iOS 开发工程师,深圳大宇无限科技有限公司,深圳,30k-60k,不限,本科
高级/资深ios开发工程师（上海） (MJ005626),广州希音供应链管理有限公司,上海,20k-40k,3-5年,本科
高级iOS开发工程师 ― faceu,抖音视界（北京）有限公司,深圳,20k-40k,3-5年,本科
Android/iOS SDK开发工程师（智能创作方向）,抖音视界（北京）有限公司,深圳,20k-40k,1-3年,本科
SPBU- iOS开发工程师,广州酷狗计算机科技有限公司,广州,25k-50k,5-10年,本科
客户端开发工程师（ios）,北京创智汇聚科技有限公司,北京,20k-35k,5-10年,本科
iOS-Swift/Flutter,伍柒必乐科技（成都）有限公司,成都,12k-18k,5-10年,本科
初级iOS开发工程师,北京畅聊天下科技股份有限公司,北京,15k-25k,1-3年,本科
iOS开发工程师（广州）(J11714),建信金融科技有限责任公司,广州,15k-25k,3-5年,本科
外卖技术-大前端研发工程师（Android、iOS、FE）,北京三快在线科技有限公司,北京,30k-50k,3-5年,本科
IOS开发工程师(009230),中信银行股份有限公司信用卡中心,深圳,20k-35k,3-5年,本科
安卓/ios/web 前端开发工程师,深圳唐果屋智能科技有限公司,深圳,15k-25k,3-5年,本科
ios运营,深圳哇哇鱼网络科技有限公司,深圳,12k-16k,1-3年,本科
iOS开发工程师（双休+五险一金）,广东乐拼互联网科技有限公司,广州,12k-16k,3-5年,大专
IOS开发工程师/专家,上海寻梦信息技术有限公司,上海,30k-60k,3-5年,本科
高级ios研发工程师,深圳市求一科技有限公司,深圳,18k-28k,3-5年,本科
iOS初级开发工程师,深圳市灵珞车品有限公司,深圳,9k-11k,1-3年,大专
iOS开发（高级）工程师&nbsp;-&nbsp;技术中台方向,抖音视界（北京）有限公司,深圳,20k-40k,3-5年,本科
iOS研发（高级）工程师 ― 皮皮虾,抖音视界（北京）有限公司,北京,25k-50k,3-5年,本科
iOS研发工程师（买菜方向）(T010994),上海寻梦信息技术有限公司,上海,30k-60k,3-5年,本科
（短视频方向）ios开发工程师,北京第三石科技发展有限公司,北京,20k-35k,3-5年,本科
iOS研发工程师（C端）(T000093),上海寻梦信息技术有限公司,上海,25k-50k,不限,本科
iOS开发工程师（收钱吧APP),上海收钱吧互联网科技股份有限公司,上海,20k-35k,3-5年,本科
移动开发工程师（Android/IOS）,中国民航信息网络股份有限公司重庆分公司,重庆,5k-10k,1-3年,本科
ios开发工程师,成都锐石引擎科技有限公司,成都,13k-26k,3-5年,大专
iOS开发工程师,深圳市应科科技有限公司,深圳,12k-18k,不限,本科
高级ios开发工程师,成都赋节科技咨询有限责任公司,成都,15k-25k,3-5年,本科
ios开发工程师,君和佳仕（北京）企业管理咨询有限责任公司,北京,30k-50k,5-10年,本科
IOS开发工程师,北京医来伸手健康管理有限公司,北京,11k-22k,3-5年,本科
ios开发工程师,兴业数字金融服务（上海）股份有限公司,成都,15k-30k,不限,本科
ios工程师,广州丹霄信息技术有限公司,广州,15k-23k,5-10年,本科
IOS开发工程师,杭州大名软件有限公司,杭州,12k-24k,1-3年,本科
Android/iOS SDK开发工程师（企业产品方向）,抖音视界（北京）有限公司,广州,30k-60k,1-3年,本科
Android/iOS 开发工程师（智能创作方向）,抖音视界（北京）有限公司,广州,30k-60k,1-3年,本科
互联网业务-iOS开发工程师,富途网络科技（深圳）有限公司,深圳,20k-40k,3-5年,本科
ios工程师,广州丹霄信息技术有限公司,广州,15k-23k,5-10年,本科
IOS开发工程师,杭州大名软件有限公司,杭州,12k-24k,1-3年,本科
ios开发工程师,四川翻台宝科技有限公司,成都,7k-12k,1-3年,本科
ios工程师,成都灵妙云电子商务有限公司,成都,15k-20k,5-10年,本科
ios开发,广州市左边广告有限公司,广州,10k-15k,1-3年,不限
iOS高级客户端工程师,财付通支付科技有限公司,上海,25k-50k,不限,本科
ios开发工程师,成都新大瀚人力资源管理有限公司,杭州,20k-30k,5-10年,本科
ios开发工程师,保定伯荐服装有限公司,北京,25k-45k,3-5年,大专
移动开发工程师（IOS+Andriod）,上海万马汇网络科技有限公司,上海,17k-22k,3-5年,本科
ios开发工程师,华为技术有限公司,深圳,15k-30k,3-5年,本科
ios高级开发工程师,民生科技有限责任公司,北京,30k-50k,5-10年,本科
ios开发工程师,广东绿箭新能源汽车有限公司,广州,9k-10k,1-3年,大专
iOS开发工程师-创新业务,抖音视界（北京）有限公司,广州,20k-40k,不限,不限
iOS研发leader ― 抖音,抖音视界（北京）有限公司,北京,50k-100k,不限,本科
ios高级开发工程师,深圳市启明卓聘咨询有限公司,北京,30k-50k,5-10年,本科
高级ios开发工程师,牵手未来科技（北京）有限公司,北京,30k-60k,3-5年,本科
IOS开发工程师,北京时光草堂医院管理有限公司,北京,11k-22k,3-5年,本科
高级ios开发工程师,深圳市嘉信福实业集团有限公司,深圳,20k-40k,5-10年,本科
ios开发工程师,深圳小树成长科技有限公司,深圳,10k-18k,1-3年,本科
ios开发工程师,天津特能行科技有限公司,北京,9k-15k,1-3年,本科
ios开发工程师,上海清序科技有限公司,上海,20k-24k,3-5年,本科
ios开发工程师,成都金翼云科技有限公司,成都,8k-16k,1-3年,大专
高级ios开发工程师,常相伴（武汉）科技有限公司,武汉,20k-35k,3-5年,本科
ios开发工程师,武汉话不多网络科技有限公司,武汉,8k-12k,3-5年,本科
ios开发工程师,成都飞欧比网络科技有限公司,成都,13k-24k,1-3年,本科
ios开发工程师,大连职问网络科技有限公司,杭州,13k-19k,3-5年,大专
ios开发工程师,广州名帅网络科技有限公司,广州,10k-16k,1-3年,大专
多媒体iOS平台研发工程师,抖音视界（北京）有限公司,北京,20k-40k,1年以下,本科
Android/iOS 研发工程师（智能创作）,抖音视界（北京）有限公司,北京,25k-50k,3-5年,本科
ios开发工程师,北京时光草堂医院管理有限公司,北京,11k-22k,3-5年,本科
ios开发工程师,深圳市优必选科技股份有限公司,深圳,15k-25k,3-5年,本科
ios开发工程师,北京蓝色脉动科技有限责任公司,济南,6k-8k,在校/应届,本科
ios开发工程师,四川红色字母数字科技有限公司,成都,6k-10k,1-3年,大专
高级ios开发工程师,北京千淘资本投资有限公司,北京,20k-35k,3-5年,本科
ios开发工程师,北京嘀嘀无限科技发展有限公司,北京,18k-25k,1年以下,本科
ios开发工程师,武汉有象科技有限公司,武汉,15k-25k,3-5年,本科
ios开发工程师,分子链（上海）互联网科技有限公司,上海,15k-20k,3-5年,本科
